channelN,session,sessionName,channelNames,cortexFlag,site,sitelabel,laminarFlag,depth,monkeyFlag,monkeyName,fixTime_pBurst_lfp,stopTime_pBurst_lfp,cancelTime_pBurst_lfp,toneTime_pBurst_lfp,errorTime_pBurst_lfp,laminar,upper_lower
18,18,eulsef20120914c-01,AD34,1,1,p1,1,7,0,Euler,0.240506329113924,0.0949367088607595,0.265822784810127,0.291139240506329,0.438356164383562,L3,Upper
19,18,eulsef20120914c-01,AD35,1,1,p1,1,8,0,Euler,0.259493670886076,0.0949367088607595,0.221518987341772,0.29746835443038,0.520547945205479,L3,Upper
20,18,eulsef20120914c-01,AD36,1,1,p1,1,9,0,Euler,0.151898734177215,0.0506329113924051,0.170886075949367,0.19620253164557,0.397260273972603,L5,Lower
21,18,eulsef20120914c-01,AD37,1,1,p1,1,10,0,Euler,0.0886075949367089,0.0189873417721519,0.170886075949367,0.20253164556962,0.424657534246575,L5,Lower
22,18,eulsef20120914c-01,AD38,1,1,p1,1,11,0,Euler,0.0822784810126582,0.0253164556962025,0.0949367088607595,0.139240506329114,0.410958904109589,L5,Lower
23,18,eulsef20120914c-01,AD39,1,1,p1,1,12,0,Euler,0.0379746835443038,0.0253164556962025,0.0379746835443038,0.113924050632911,0.26027397260274,L5,Lower
24,18,eulsef20120914c-01,AD40,1,1,p1,1,13,0,Euler,0.0379746835443038,0.0253164556962025,0.0379746835443038,0.0822784810126582,0.219178082191781,L6,Lower
6,19,eulsef20120915c-01,AD22,1,1,p1,1,1,0,Euler,0.213720316622691,0.0369393139841689,0.327176781002639,0.29023746701847,0.441988950276243,L2,Upper
7,19,eulsef20120915c-01,AD23,1,1,p1,1,2,0,Euler,0.350923482849604,0.137203166226913,0.448548812664908,0.451187335092348,0.657458563535912,L2,Upper
8,19,eulsef20120915c-01,AD24,1,1,p1,1,3,0,Euler,0.387862796833773,0.153034300791557,0.493403693931398,0.432717678100264,0.740331491712707,L2,Upper
9,19,eulsef20120915c-01,AD25,1,1,p1,1,4,0,Euler,0.387862796833773,0.171503957783641,0.527704485488127,0.464379947229551,0.723756906077348,L2,Upper
10,19,eulsef20120915c-01,AD26,1,1,p1,1,5,0,Euler,0.385224274406332,0.121372031662269,0.45646437994723,0.451187335092348,0.679558011049724,L3,Upper
11,19,eulsef20120915c-01,AD27,1,1,p1,1,6,0,Euler,0.398416886543536,0.137203166226913,0.411609498680739,0.385224274406332,0.569060773480663,L3,Upper
12,19,eulsef20120915c-01,AD28,1,1,p1,1,7,0,Euler,0.282321899736148,0.12401055408971,0.353562005277045,0.358839050131926,0.530386740331492,L3,Upper
