session,monkey,betaBaseline_LFP_canc,betaBaseline_LFP_noncanc,betaBaseline_LFP_nostop,targetBaseline_LFP_canc,targetBaseline_LFP_noncanc,targetBaseline_LFP_nostop
8,Xena,0.247191011235955,0.25414364640884,0.211764705882353,0.303370786516854,0.303867403314917,0.247058823529412
8,Xena,0.250936329588015,0.243093922651934,0.219117647058824,0.299625468164794,0.314917127071823,0.261764705882353
8,Xena,0.243445692883895,0.276243093922652,0.238235294117647,0.310861423220974,0.325966850828729,0.25
8,Xena,0.209737827715356,0.243093922651934,0.198529411764706,0.213483146067416,0.259668508287293,0.233823529411765
8,Xena,0.209737827715356,0.281767955801105,0.216176470588235,0.220973782771536,0.331491712707182,0.254411764705882
8,Xena,0.213483146067416,0.265193370165746,0.214705882352941,0.228464419475655,0.331491712707182,0.252941176470588
8,Xena,0.198501872659176,0.276243093922652,0.222058823529412,0.258426966292135,0.303867403314917,0.244117647058824
8,Xena,0.224719101123595,0.281767955801105,0.216176470588235,0.250936329588015,0.276243093922652,0.232352941176471
8,Xena,0.213483146067416,0.298342541436464,0.214705882352941,0.247191011235955,0.298342541436464,0.238235294117647
8,Xena,0.187265917602996,0.243093922651934,0.225,0.247191011235955,0.30939226519337,0.269117647058824
8,Xena,0.235955056179775,0.281767955801105,0.223529411764706,0.273408239700375,0.30939226519337,0.222058823529412
9,Xena,0.300653594771242,0.29126213592233,0.268929503916449,0.254901960784314,0.330097087378641,0.289817232375979
9,Xena,0.274509803921569,0.281553398058252,0.279373368146214,0.26797385620915,0.320388349514563,0.268929503916449
9,Xena,0.281045751633987,0.300970873786408,0.276762402088773,0.287581699346405,0.330097087378641,0.289817232375979
9,Xena,0.281045751633987,0.310679611650485,0.276762402088773,0.228758169934641,0.29126213592233,0.279373368146214
9,Xena,0.281045751633987,0.262135922330097,0.255874673629243,0.261437908496732,0.359223300970874,0.295039164490862
9,Xena,0.287581699346405,0.310679611650485,0.279373368146214,0.248366013071895,0.339805825242718,0.295039164490862
9,Xena,0.261437908496732,0.310679611650485,0.295039164490862,0.248366013071895,0.300970873786408,0.276762402088773
9,Xena,0.300653594771242,0.281553398058252,0.279373368146214,0.248366013071895,0.368932038834951,0.284595300261097
9,Xena,0.294117647058824,0.310679611650485,0.27154046997389,0.26797385620915,0.368932038834951,0.274151436031332
9,Xena,0.261437908496732,0.310679611650485,0.268929503916449,0.248366013071895,0.29126213592233,0.274151436031332
9,Xena,0.261437908496732,0.349514563106796,0.261096605744125,0.254901960784314,0.339805825242718,0.287206266318538
9,Xena,0.235294117647059,0.320388349514563,0.281984334203655,0.241830065359477,0.262135922330097,0.289817232375979
9,Xena,0.228758169934641,0.262135922330097,0.248041775456919,0.209150326797386,0.213592233009709,0.201044386422977
9,Xena,0.228758169934641,0.213592233009709,0.232375979112272,0.189542483660131,0.262135922330097,0.232375979112272
9,Xena,0.209150326797386,0.242718446601942,0.276762402088773,0.196078431372549,0.262135922330097,0.248041775456919
9,Xena,0.26797385620915,0.223300970873786,0.253263707571802,0.215686274509804,0.271844660194175,0.248041775456919
9,Xena,0.228758169934641,0.242718446601942,0.203655352480418,0.176470588235294,0.262135922330097,0.242819843342037
9,Xena,0.215686274509804,0.233009708737864,0.190600522193211,0.183006535947712,0.252427184466019,0.245430809399478
