channelN,session,sessionName,channelNames,cortexFlag,site,sitelabel,laminarFlag,depth,monkeyFlag,monkeyName,fixTime_pBurst_lfp,stopTime_pBurst_lfp,cancelTime_pBurst_lfp,toneTime_pBurst_lfp,errorTime_pBurst_lfp,laminar,upper_lower
9,22,xensef20120424c-final,AD25,1,2,p2,1,2,1,Xena,0.0136674259681093,0.14123006833713,0.00683371298405467,0.00455580865603645,0.00892857142857143,L2,Upper
10,22,xensef20120424c-final,AD26,1,2,p2,1,3,1,Xena,0.0364464692482916,0.134396355353075,0.0592255125284738,0.0273348519362187,0.0669642857142857,L2,Upper
11,22,xensef20120424c-final,AD27,1,2,p2,1,4,1,Xena,0.184510250569476,0.150341685649203,0.150341685649203,0.143507972665148,0.214285714285714,L2,Upper
12,22,xensef20120424c-final,AD28,1,2,p2,1,5,1,Xena,0.230068337129841,0.150341685649203,0.193621867881549,0.223234624145786,0.258928571428571,L3,Upper
13,22,xensef20120424c-final,AD29,1,2,p2,1,6,1,Xena,0.250569476082005,0.116173120728929,0.20501138952164,0.207289293849658,0.254464285714286,L3,Upper
14,22,xensef20120424c-final,AD30,1,2,p2,1,7,1,Xena,0.214123006833713,0.132118451025057,0.184510250569476,0.132118451025057,0.169642857142857,L3,Upper
15,22,xensef20120424c-final,AD31,1,2,p2,1,8,1,Xena,0.296127562642369,0.14123006833713,0.252847380410023,0.218678815489749,0.254464285714286,L3,Upper
16,22,xensef20120424c-final,AD32,1,2,p2,1,9,1,Xena,0.328018223234624,0.138952164009112,0.241457858769932,0.261958997722096,0.334821428571429,L5,Lower
17,22,xensef20120424c-final,AD33,1,2,p2,1,10,1,Xena,0.321184510250569,0.120728929384966,0.232346241457859,0.214123006833713,0.263392857142857,L5,Lower
18,22,xensef20120424c-final,AD34,1,2,p2,1,11,1,Xena,0.220956719817768,0.129840546697039,0.136674259681093,0.150341685649203,0.209821428571429,L5,Lower
