channelN,session,sessionName,channelNames,cortexFlag,site,sitelabel,laminarFlag,depth,monkeyFlag,monkeyName,fixation_power_canceled,fixation_power_nostop,stopSignal_power_canceled,stopSignal_power_nostop,ssrt_power_canceled,ssrt_power_nostop,laminar,upper_lower
22,17,eulsef20120913c-01,AD38,1,1,p1,1,14,0,Euler,0.142726659960366,0.389062376366595,0.173452467385739,0.499563628751524,0.0684864204154351,0.349150061322846,L6,Lower
23,17,eulsef20120913c-01,AD39,1,1,p1,1,15,0,Euler,0.169744940996006,0.430602466190001,0.178954961398606,0.982884090078624,0.0845390960989547,0.225670740001945,L6,Lower
24,17,eulsef20120913c-01,AD40,1,1,p1,1,16,0,Euler,0.0937417129744501,0.387391888415334,0.312238209235163,0.625006702776265,0.0762766825291742,0.13738348969326,L6,Lower
12,18,eulsef20120914c-01,AD28,1,1,p1,1,1,0,Euler,0.252218184027002,0.783820104320135,0.683976340612643,2.67199809739717,0.365907218944665,1.33199014917133,L2,Upper
13,18,eulsef20120914c-01,AD29,1,1,p1,1,2,0,Euler,0.163646258892393,0.301118844024541,0.446985709735683,1.09123110690438,0.84910467273895,1.1189872125298,L2,Upper
14,18,eulsef20120914c-01,AD30,1,1,p1,1,3,0,Euler,0.292507567962664,0.120984224225335,1.0027883668889,0.524046907676899,0.824330121884957,0.833210828556716,L2,Upper
15,18,eulsef20120914c-01,AD31,1,1,p1,1,4,0,Euler,0.0722270741727674,0.224206687756482,1.39910944745487,1.34860235370414,0.567362013587622,1.07171445581929,L2,Upper
16,18,eulsef20120914c-01,AD32,1,1,p1,1,5,0,Euler,0.17715616590206,0.440838404524587,0.958536336923601,1.84066093697606,0.405718864518577,0.310575823906231,L3,Upper
17,18,eulsef20120914c-01,AD33,1,1,p1,1,6,0,Euler,0.133321811334132,1.56741915024068,0.488086363427244,0.890522054723412,0.419315605756823,0.37779670014421,L3,Upper
18,18,eulsef20120914c-01,AD34,1,1,p1,1,7,0,Euler,0.155408519054857,0.709023613113602,0.744514550348282,1.94442267143269,0.398875955133186,0.487495463097491,L3,Upper
19,18,eulsef20120914c-01,AD35,1,1,p1,1,8,0,Euler,0.143435028073639,0.644381247773467,0.611401442197015,1.08806452769474,0.360047639505084,0.218020027909853,L3,Upper
20,18,eulsef20120914c-01,AD36,1,1,p1,1,9,0,Euler,0.402389515289245,0.410797659402043,0.517810316671053,0.968546987512527,0.45800788934309,0.175505603985099,L5,Lower
21,18,eulsef20120914c-01,AD37,1,1,p1,1,10,0,Euler,0.226212761772065,0.136232603191294,0.268786934071324,1.02337676159516,0.733224318977754,0.196002372879069,L5,Lower
